"Year" "Geo" "Age" "Sex" "Pop"
2015 3359 "75" 1 4814
2015 3359 "75" 2 5513
2015 3359 "80" 1 2245
2015 3359 "80" 2 3201
2015 3359 "85" 1 1077
2015 3359 "85" 2 2041
2015 3359 "90" 1 325
2015 3359 "90" 2 1182
2015 3360 "60" 1 3098
2015 3360 "60" 2 3212
2015 3360 "65" 1 2655
2015 3360 "65" 2 2737
2015 3360 "70" 1 2391
2015 3360 "70" 2 2702
2015 3360 "75" 1 2601
2015 3360 "75" 2 3287
2015 3360 "80" 1 1408
2015 3360 "80" 2 1943
2015 3360 "85" 1 684
2015 3360 "85" 2 1319
2015 3360 "90" 1 268
2015 3360 "90" 2 826
2015 3361 "60" 1 4339
2015 3361 "60" 2 4534
2015 3361 "65" 1 3877
2015 3361 "65" 2 3999
2015 3361 "70" 1 3324
2015 3361 "70" 2 3526
2015 3361 "75" 1 3306
2015 3361 "75" 2 3739
2015 3361 "80" 1 1545
2015 3361 "80" 2 2209
2015 3361 "85" 1 750
2015 3361 "85" 2 1502
2015 3361 "90" 1 278
2015 3361 "90" 2 919
2015 3401 "60" 1 2304
2015 3401 "60" 2 2493
2015 3401 "65" 1 2101
2015 3401 "65" 2 2332
2015 3401 "70" 1 1915
2015 3401 "70" 2 2065
2015 3401 "75" 1 1926
2015 3401 "75" 2 2326
2015 3401 "80" 1 905
2015 3401 "80" 2 1340
2015 3401 "85" 1 437
2015 3401 "85" 2 855
2015 3401 "90" 1 127
2015 3401 "90" 2 426
2015 3402 "60" 1 1495
2015 3402 "60" 2 1566
2015 3402 "65" 1 1409
2015 3402 "65" 2 1465
2015 3402 "70" 1 1082
2015 3402 "70" 2 1243
2015 3402 "75" 1 1080
2015 3402 "75" 2 1376
2015 3402 "80" 1 590
2015 3402 "80" 2 911
2015 3402 "85" 1 315
2015 3402 "85" 2 593
2015 3402 "90" 1 91
2015 3402 "90" 2 329
2015 3403 "60" 1 4388
2015 3403 "60" 2 4823
2015 3403 "65" 1 3868
2015 3403 "65" 2 4355
2015 3403 "70" 1 3374
2015 3403 "70" 2 3850
2015 3403 "75" 1 3203
2015 3403 "75" 2 4127
2015 3403 "80" 1 1644
2015 3403 "80" 2 2452
2015 3403 "85" 1 808
2015 3403 "85" 2 1711
2015 3403 "90" 1 355
2015 3403 "90" 2 1119
2015 3404 "60" 1 4000
2015 3404 "60" 2 4542
2015 3404 "65" 1 3482
2015 3404 "65" 2 3848
2015 3404 "70" 1 2981
2015 3404 "70" 2 3683
2015 3404 "75" 1 3172
2015 3404 "75" 2 4374
2015 3404 "80" 1 1767
2015 3404 "80" 2 2872
2015 3404 "85" 1 929
2015 3404 "85" 2 1935
2015 3404 "90" 1 361
2015 3404 "90" 2 1208
2015 3405 "60" 1 2228
2015 3405 "60" 2 2538
2015 3405 "65" 1 2399
2015 3405 "65" 2 2546
2015 3405 "70" 1 2180
2015 3405 "70" 2 2495
2015 3405 "75" 1 2360
2015 3405 "75" 2 2751
2015 3405 "80" 1 1093
2015 3405 "80" 2 1655
2015 3405 "85" 1 534
2015 3405 "85" 2 1148
2015 3405 "90" 1 214
2015 3405 "90" 2 639
2015 3451 "60" 1 3729
2015 3451 "60" 2 4035
2015 3451 "65" 1 3570
2015 3451 "65" 2 3750
2015 3451 "70" 1 2951
2015 3451 "70" 2 3260
2015 3451 "75" 1 3182
2015 3451 "75" 2 3706
2015 3451 "80" 1 1567
